"","H_0001","H_0002","H_0003","H_0005","H_0006","H_0007","H_0008","H_0009","H_0010","H_0012","H_0013","H_0539","H_0657","H_0658","H_0681","H_0695","H_0700","H_0726","H_0740","H_0750"
"RFTN2",797,2434,3464,2390,1278,853,2738,2289,818,2289,488,1156,3256,1518,4554,2605,1427,1594,2747,2790
"PROC",24,25,28,16,18,15,7,12,14,12,22,15,37,21,17,9,21,16,21,7
"TLR5",99,67,83,218,154,113,137,216,30,53,75,132,225,77,50,355,100,80,176,229
"TRIP10",523,844,1036,790,1069,313,1153,643,211,448,319,397,921,296,544,1028,448,318,1513,857
"CPQ",422,995,1243,895,663,626,1064,827,432,551,278,464,1296,633,1306,1597,1046,539,974,2139
"JMJD6",1117,842,2080,1227,1179,716,1732,1728,708,1833,479,1237,1784,1217,1974,796,1173,1487,1316,2663
"SAMHD1",1053,1796,2052,2123,1537,1624,1930,1374,989,1395,1183,1723,2443,2438,2350,2966,1892,1998,865,2150
"ATOH8",644,540,1087,472,880,449,860,505,178,897,302,186,777,424,569,633,413,377,627,1479
"SPDYA",52,69,92,66,55,53,87,106,47,98,82,49,102,60,91,94,74,59,97,121
"RGCC",3824,3155,10557,3062,2946,1305,4622,2388,1196,3549,1394,1868,6952,2415,7460,2561,1428,2930,3299,5363
"GYS2",12,23,18,51,7,18,34,23,14,43,6,25,26,26,27,40,31,16,19,16
"DNA2",161,320,221,427,257,300,453,297,162,346,83,135,219,390,532,147,243,335,286,525
"PRRG4",40,77,31,89,96,31,87,82,5,26,32,43,35,56,12,109,52,61,33,172
"RAMP2-AS1",32,159,23,108,45,119,209,132,41,117,67,146,106,109,98,295,156,79,114,202
"AJUBA",75,152,21,65,71,33,154,67,71,83,77,52,31,82,68,295,184,41,30,159
"CCDC160",36,114,151,133,89,48,179,152,61,70,70,67,120,71,96,199,89,76,65,127
"SLC25A48",568,812,2282,539,591,257,930,695,188,307,172,333,949,535,1233,518,356,538,312,644
"SPACA6P-AS",30,88,65,59,17,21,127,108,26,61,7,58,110,24,76,67,73,31,55,115
"RCC1",159,207,577,246,207,129,379,492,154,355,122,196,303,215,413,238,197,295,192,345
"CCDC102A",61,118,119,65,121,39,99,58,50,95,32,80,82,49,69,167,101,45,61,364
"C21orf62",9,103,77,32,49,168,116,99,21,27,29,36,84,41,15,158,118,31,71,140
"CCDC151",274,160,499,331,343,130,307,201,160,366,99,197,391,205,140,133,184,222,318,442
"DDIT4",1419,2614,3660,2636,3324,1539,7115,2814,822,2434,725,1112,2970,2055,2055,5014,3242,1716,768,9305
"ITGA10",164,580,353,479,296,248,1047,483,177,442,317,296,673,490,435,865,541,246,338,1095
"ANKRD37",329,392,551,594,690,257,713,339,194,628,373,466,330,301,245,562,375,395,270,1414
"COL8A2",44,160,36,96,131,86,161,87,44,44,108,103,153,26,22,589,334,76,62,547
"REP15",11,27,20,34,6,9,39,55,8,33,8,9,7,21,23,20,21,22,3,88
"NUPR1",1556,936,2846,439,1715,1799,1325,559,225,1823,540,359,1225,323,406,1373,776,299,2032,4827
"FZD7",96,404,339,282,405,186,516,307,176,248,175,207,403,219,88,763,451,186,285,1820
"TLDC2",26,76,66,50,59,49,58,82,11,17,23,45,71,41,131,63,40,25,41,60
"FKBP5",1809,2352,3846,3238,1821,3131,3852,2273,677,3303,2419,824,5806,2966,4220,4171,3330,2619,2063,6067
"SLC38A2",6367,11650,16024,10728,5492,3702,14163,10987,5066,6417,5381,4288,6530,11833,19265,9106,6831,11019,2294,19837
"CLDN7",30,30,18,50,33,11,12,30,6,0,3,9,14,7,4,29,25,5,13,34
"PRKX",341,822,1518,1168,582,809,1338,1033,328,1261,378,569,1240,626,1556,1128,838,635,1066,880
"SLC5A3",1469,2612,2512,2888,1608,1163,3563,3701,1287,2323,443,1440,1193,3665,1881,2061,2282,2843,860,4200
"CCNA2",159,126,342,288,110,195,344,436,116,412,57,170,278,124,468,163,150,185,313,401
"C6orf118",14,22,10,34,35,28,26,30,13,39,22,12,31,15,6,65,25,18,36,33
"SPINT1",62,18,30,43,93,37,45,14,10,21,46,39,9,28,11,58,46,28,44,115
"SMTN",1467,2060,2737,1440,2742,755,3544,2365,432,1081,438,832,1296,2383,1020,1215,938,475,1658,1932
"SAMD11",56,167,247,135,207,81,433,103,45,29,38,105,275,32,39,212,160,96,54,1048
"KLF15",858,2405,2579,1621,1409,916,2528,1362,464,2269,521,579,2505,1020,2315,1616,1096,955,1162,2378
"HIF3A",1832,3580,3252,2798,2345,974,4256,3148,838,1964,1022,934,4864,2559,1425,4066,2481,1372,3235,2992
"ALOX15B",209,52,163,162,245,64,238,184,70,170,96,58,275,262,47,117,149,158,66,385
"LOC101927354",4,18,76,15,8,4,35,21,0,27,2,5,0,5,35,5,11,12,7,17
"CYP39A1",23,66,27,69,53,36,84,66,46,91,13,58,64,47,65,124,79,72,65,247
"LINC01108",11,34,13,12,0,0,23,36,4,0,0,3,5,7,3,2,0,3,0,3
"SCGN",106,55,73,61,102,76,27,32,51,58,63,81,45,57,89,15,38,84,68,169
"LMNTD2",31,36,28,43,65,11,75,23,18,11,27,22,74,25,14,43,39,12,21,80
"LBX2",3,39,29,13,7,0,24,12,0,13,0,0,19,2,55,4,5,9,2,6
"GNRH1",94,182,269,163,157,61,249,206,81,237,87,113,248,115,229,121,135,119,141,241
"S100A4",172,197,405,159,936,110,351,258,35,86,83,51,51,54,69,703,374,82,99,805
"ADAMTS2",300,171,244,339,392,139,241,340,271,293,348,216,467,403,241,159,444,389,221,675
"AKR1C2",707,941,348,223,254,117,554,264,338,126,211,179,532,441,158,813,315,286,322,1369
"LCN6",4,27,12,31,57,2,20,33,19,46,19,14,43,23,18,49,47,29,26,19
"AZGP1",704,627,4408,979,481,543,622,384,135,1182,312,188,1258,653,2373,201,147,396,362,403
"SLC23A3",20,55,13,24,43,7,46,74,21,33,2,20,17,27,31,36,25,9,29,55
"OLAH",26,56,33,66,38,20,102,60,17,53,14,13,27,39,22,118,43,27,18,89
"CXCR2",7,107,12,21,4,9,17,29,0,4,11,2,30,19,9,37,3,5,23,41
"SH2D3A",5,9,19,20,17,12,15,28,12,11,0,6,0,6,8,30,5,8,16,18
"CXCR1",0,58,6,8,5,17,17,46,4,10,5,0,42,32,11,59,22,4,9,142
"SERPINA5",19,25,286,58,30,205,41,113,0,24,36,6,41,21,106,26,14,58,42,38
"LINC01134",17,14,6,13,24,2,22,21,2,23,6,6,15,10,10,3,3,9,8,15
"LINC00463",79,207,144,105,48,23,52,77,70,230,59,29,86,63,449,61,53,65,66,21
"LINC01068",0,0,16,2,0,1,12,28,0,7,1,3,0,0,41,0,5,1,22,5
"CYP4B1",6,100,40,18,76,11,202,54,19,91,19,19,75,30,31,113,53,25,17,1095
"MIA",0,1,39,4,17,2,13,1,0,26,0,1,8,0,18,4,4,4,4,5
"NPC1L1",9,11,43,9,11,29,69,33,4,92,3,0,24,11,65,6,9,10,15,46
