"","P_0003","P_0006","P_0013","P_0014","P_0015","P_0016","P_0018","P_0019","P_0020","P_0021","P_0022","P_0023","P_0026","P_0027","P_0028","P_0029","P_0030","P_0031","P_0033","P_0012","P_0034","P_0063","P_0126","P_0130","P_0132","P_0133","P_0134","P_0135","P_0136"
"CHRM4",43,44,117,80,28,336,65,45,144,4,32,127,49,384,50,58,106,96,0,236,75,72,2,49,12,47,347,23,22
"SVOP",1981,860,4775,2015,978,6814,2343,1737,3149,50,666,2716,976,5741,1141,949,2752,1759,21,5434,2137,3034,844,1435,1126,2571,8840,591,524
"LOC102724532",95,40,140,103,52,221,137,90,106,42,61,91,69,171,72,80,105,117,16,141,85,110,100,129,115,126,221,59,126
"LRTM2",837,344,1052,506,386,2010,887,739,1017,12,227,779,428,2049,453,365,659,738,16,1380,899,855,166,505,294,625,2067,282,283
"F7",40,26,40,26,22,186,43,51,44,3,13,71,23,88,27,25,34,34,5,76,36,57,6,32,26,59,116,20,7
"ZNF449",89,93,347,159,97,530,150,217,244,107,141,342,102,403,150,128,158,198,21,421,257,335,150,404,214,242,864,204,250
"C2orf16",19,16,29,8,8,67,30,37,26,11,11,37,17,57,20,10,22,23,3,27,34,20,4,32,19,27,88,14,25
"ZNF860",8,3,26,18,10,55,18,35,34,0,5,23,6,47,6,2,15,10,2,41,9,24,12,4,6,12,66,5,8
"KCNF1",1096,859,2034,1173,992,2835,1907,1545,1378,125,649,1177,1049,2932,846,730,1422,1177,90,2175,1058,1614,894,927,1052,1509,3051,616,481
"SMIM10L2B",1786,635,1975,924,652,3644,2065,940,1758,78,622,1752,905,3178,866,702,1235,1327,33,2182,1182,1576,526,1264,697,1684,3822,560,507
"SCN11A",15,7,45,31,27,51,59,46,45,9,30,15,20,37,28,18,44,24,3,52,26,66,8,76,23,43,62,23,37
"TARBP1",973,570,2471,1388,967,4960,1518,2483,2407,392,810,2430,742,3367,1152,975,1167,1447,121,3196,2454,2266,744,2428,1197,1610,6485,1113,1572
"DIRAS1",4914,2442,5422,2913,2007,10727,4459,2973,4797,222,1895,4659,2707,9590,3151,2568,3462,3542,91,7143,4613,4620,2139,2722,2308,4598,11979,1901,1285
"SYT12",1219,998,1491,1139,752,3345,1611,1218,1185,132,973,1591,1033,3671,1044,941,1200,1063,24,2254,1431,1196,781,1000,1161,1397,3312,811,492
"SLC6A17",4265,2551,8456,4739,2251,14096,5182,3702,6393,103,2336,7052,2503,12883,3789,3363,5087,6268,103,7932,4668,4488,1605,3754,2008,5392,13354,2407,2584
"C17orf107",105,61,138,67,44,235,128,143,151,28,78,183,72,337,96,77,116,139,10,176,69,85,82,104,59,187,396,51,53
"KREMEN2",81,30,191,51,81,357,116,203,203,21,45,101,45,228,63,52,99,100,7,142,73,136,41,220,129,78,267,49,75
"RSAD2",67,47,184,101,80,294,141,122,160,35,97,252,110,185,256,229,98,130,1,230,289,221,117,194,194,145,474,92,250
"SMIM10L2A",2018,974,3313,1813,1046,5237,3181,1547,2486,258,1123,2726,1406,4258,1297,1174,1912,2071,122,3108,1464,2945,1243,1788,1466,3062,5434,997,882
"PCP4L1",534,388,872,515,254,1426,559,623,645,18,310,853,268,1242,320,275,532,548,7,1091,462,607,180,428,402,572,2217,210,200
"SPEF1",211,156,217,134,197,519,249,193,239,67,151,256,155,511,144,111,170,212,13,277,197,341,231,239,184,307,597,175,99
"CLSTN3",6741,4234,11408,5908,3004,20004,7412,5986,8731,289,2691,8537,3494,16895,4759,4082,6434,7243,154,12079,6413,5849,2731,4431,2908,5757,17586,3391,2414
"GPCPD1",553,347,1005,485,354,2466,873,1440,1334,282,565,975,762,1674,558,522,654,710,101,2050,903,2252,528,1369,687,1820,4624,699,1449
