,gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
161,C1orf226,132.8211389,0.769779925,0.136824793,5.626026604,1.84E-08,1.54E-05
1584,TRIP10,208.0315396,0.771567542,0.235225355,3.280120641,0.001037627,0.021467969
634,DLL1,359.8866783,0.772370564,0.262048661,2.947431825,0.003204254,0.04240147
1650,BCAT2,322.1454806,0.773130933,0.183223987,4.219594538,2.45E-05,0.002066436
742,CPQ,297.7324986,0.774476497,0.202596631,3.822751112,0.000131971,0.005920704
1229,CNMD,25.70158648,0.774548389,0.205335809,3.772105762,0.000161876,0.006632448
1465,CCDC144CP,360.6578548,0.777658212,0.169629474,4.58445217,4.55E-06,0.00069628
1435,JMJD6,774.6892911,0.778115627,0.244088321,3.187844561,0.001433376,0.025948828
1270,LOC101927124,19.33999658,0.778203525,0.225116589,3.456891069,0.000546446,0.014892165
836,SLC25A25-AS1,206.2672244,0.780142337,0.197488257,3.950322659,7.80E-05,0.004263378
151,POU5F1P4,24.50637544,0.781546283,0.251958404,3.10188615,0.001922919,0.031551908
75,CROCC,1351.517991,0.781852495,0.260863442,2.997171587,0.002724973,0.039004331
1728,SLC17A9,55.9788526,0.782127505,0.236898231,3.301533743,0.000961578,0.020359089
912,SRPK3,107.822152,0.784282419,0.263114985,2.980759232,0.002875348,0.040037279
1686,SAMHD1,691.0607051,0.786722089,0.209933291,3.747486088,0.000178616,0.007041647
717,LOC100506860,256.9302171,0.787085791,0.180802212,4.353297364,1.34E-05,0.001380551
315,EFHD1,2055.815976,0.789289803,0.271833968,2.903573118,0.003689308,0.046078916
722,SLC4A2,662.1008996,0.790086459,0.203224585,3.887750383,0.000101178,0.004990582
1441,CTNS,402.4793457,0.790881787,0.176243033,4.487449931,7.21E-06,0.000916612
202,ATOH8,350.2902633,0.796569436,0.213779002,3.726135073,0.000194438,0.007495396
1273,LOC102723809,15.62870247,0.796748017,0.22351183,3.564679398,0.000364301,0.01165261
1370,LMF1-AS1,47.03392264,0.798820143,0.218183365,3.661233042,0.000251004,0.008963519
790,EPPK1,77.33302929,0.811635905,0.239289695,3.391854819,0.000694212,0.016992716
1476,LOC105371730,16.27317749,0.81875942,0.253045204,3.23562513,0.001213767,0.023503347
1446,WSCD1,1018.839006,0.819250569,0.198031886,4.136962917,3.52E-05,0.002621272
141,ANXA9,125.9857256,0.82125513,0.242331922,3.388968006,0.000701562,0.017070542
1079,RBM14,1084.563485,0.822590597,0.193121652,4.259442619,2.05E-05,0.001834321
601,LOC285847,22.1306494,0.822843789,0.256644227,3.206165196,0.001345167,0.024965871
95,TSSK3,94.94473412,0.823632914,0.229690145,3.585843508,0.00033599,0.010897481
1337,ANP32A-IT1,115.0877762,0.823857848,0.200540943,4.108177796,3.99E-05,0.002763066
771,SLC10A5,24.65294059,0.828161379,0.279716528,2.960716642,0.003069242,0.041573748
261,SPDYA,18.64314488,0.829019228,0.23291445,3.559329303,0.000371803,0.011766242
1226,RGCC,719.3278784,0.830083464,0.168672528,4.921272432,8.60E-07,0.000235945
966,CHST3,1289.269884,0.833235229,0.271014681,3.074502192,0.002108542,0.033237821
429,LOC100129917,301.2261168,0.833917234,0.197465749,4.223098114,2.41E-05,0.002042831
