,AD,,PD,,HD,
,lfc,p-adjusted,lfc,q,lfc,q
CYP39A1,1.263379332,0.005032485,0.711299695,0.00073377,0.788661323,0.000794319
LINC01108,1.312624066,0.019876613,3.965106705,9.24E-08,3.649575175,2.62E-07
SCGN,1.320278718,0.025948828,0.63383076,0.010693068,1.031852546,4.50E-05
LMNTD2,1.388527476,0.009830561,1.33275451,3.63E-08,0.513137727,0.049604131
LBX2,1.390589173,0.000802497,1.633751813,7.77E-05,1.339046408,0.020646844
GNRH1,1.402792904,4.32E-06,0.666856714,7.01E-05,0.821683092,2.35E-05
S100A4,1.40705198,0.002732606,1.269909517,0.000139,1.923857243,1.06E-07
ADAMTS2,1.428749859,0.00038393,0.676518521,0.001048431,0.859921635,7.75E-05
AKR1C2,1.42920514,0.000167359,0.809051044,0.000345,1.225189136,2.82E-07
LCN6,1.434843771,0.029232482,1.430631401,0.000303,1.591967822,0.000260734
AZGP1,1.455109817,0.003734421,1.19058713,0.000992249,1.161987342,0.012614462
SLC23A3,1.498065555,0.010413709,1.062606448,7.38E-05,0.782776587,0.015814718
OLAH,1.529088576,0.006825135,1.034704781,0.001136881,1.449673861,1.85E-05
CXCR2,1.615238781,0.012624346,1.25166591,0.00676,2.565920474,1.16E-06
SH2D3A,1.660029348,0.001973671,0.986840807,0.00169,0.837217022,0.035375837
CXCR1,1.745966531,0.003752232,1.579222601,0.003660618,3.073529641,4.89E-08
SERPINA5,1.867408339,0.003576179,1.383123772,0.00264,1.584703976,0.008785213
LINC01134,1.976602118,0.011341698,1.334346314,6.89E-07,0.650494453,0.04298553
LINC00463,2.055362384,9.91E-05,1.027328679,0.001368844,1.06695209,0.003171704
LINC01068,2.072624612,0.012526081,1.80654619,0.000123,2.160093913,0.002245683
CYP4B1,2.157137251,0.000378076,1.126424722,0.004580488,2.537223296,4.46E-08
MIA,2.502812601,0.027041133,2.074317976,1.16E-05,1.619125561,0.008513574
NPC1L1,3.296196643,0.000547293,2.17485425,3.62E-06,1.146904912,0.049934384
